sWeaponTypeTwoHandRifleEnergy	Energy Rifle
sPlural	(s)
sResolution	Resolution
sInventoryCaps	Caps
sActiveMineDescription	Live
sKBWebSearch	Search
sPlayAudio	Play Audio
sInventoryQuantity	QTY
sMagicCastWhenStrikes	Weapon
sSelfRange	Self
sMale	Male
sHandToHandIcon	Icons\Weapons\HandToHand.dds
sKBA	A
sDeleteSuccessful	Save game deleted.
sOverEncumbered	You are overencumbered and cannot run!
sRSMEyeSockets	Eye Sockets
sCheekbonesthin	Cheekbones thin/wide
sRadsPerSecond	RAD/SEC
sComputersBack	Back
sTerminalLocked	You cannot hack this computer.
sKBB	B
sVoiceVolume	Voice
sKBC	C
sMenuDisplayQuicksaveName	Quicksave
sRadioWaveformFileFormat	Interface\Radio Wave\%s.dds
sMonthDecember	December
sHeadDamagedIcon	TypeIcons\hot_keys_icon_unarmedweapons.dds
sKBD	D
sLightFade	Light Fade
sChinsmall	Chin small/large
sKBE	E
sAnimationCanNotEquipArmor	You cannot change armor while attacking.
sKBF	F
sQuicksaveAbbrev	QUICK
sHours	hours
sKBG	G
sIngredientFail	 Ingredient had no effect.
sRestartBecauseContentRemoved	The game must restart now because downloaded content has been removed.
sStatsNoEffects	NO STATUS EFFECTS
sRemoveMarker	Remove It
sMagicEffectItemSecondsPlural	secs
sMagicEffectItemPercent	%
sMagicEffectItemFor	for
sKBH	H
sPluralPlain	s
sKBI	I
sAddItemtoInventory	added
sKBJ	J
sBeard	Beard
sRequirementsText	Req
sPS3LThumbRight	the Left Stick Right
sKBK	K
sCancelBarter	Cancel transaction?
sYesToAllText	Yes to all
sKBL	L
sLoadFromMainMenu	Are you sure you want to load this game?
sSkintintpurple	Skin tint purple/yellow
sInventoryItems	ITEMS
sSneakHidden	[HIDDEN]
sKarmaMinorLostImage	Interface\Icons\PipboyImages_small\Karma icons\glow_karma_bad.dds
sFullHealth	You are already at full health.
sKBM	M
sConfirmWarning	WARNING:  Any unsaved progress will be lost.
sHowManyWait	How long would you like to
sMouthlipsdeflated	Mouth lips deflated/inflated
sMagicCastOnce	(unused)
sKBN	N
sMiscPlayerDeadLoadOption	Reload
sWorldMapTabText	World Map
sKBO	O
sFrenziedByPlayerMessage	Frenzied
sXBRThumbUp	the Right Stick Up
sKBP	P
sRadiationSick	You are now sick with
sEyebrowsuppert	Eyebrows upper dark/light
sKBQ	Q
sPS3LThumbUp	the Left Stick Up
sKBR	R
sKBTab	Tab
sKBS	S
sLockBroken	The lock has been broken.
sLevelAbbrev	Level
sHUDHealth	Hlth
sKBT	T
sAddedEffects	Added Effects
sRSMMisc	Misc
sHealth	Health
sKBU	U
sStatsAP	AP
sDisarmMine	Disarm Mine
sTargetTypeActivate	Activate
sPS3Circle	\general_button_b.dds\
sKBV	V
sContractedDisease	You have contracted
sReturn	Return
sPS3StartBtn	Start
sXBRThumbRight	the Right Stick Right
sKBW	W
sUActnAutomove	Auto Move
sSaveGameCorruptMenuMessage	The save game is corrupt and cannot be loaded.
sCanNotTrainHigher	This NPC cannot help you train any higher.
sJawwide	Jaw wide/thin
sKBX	X
sUActnCrouch	Sneak
sMusicVolume	Music
sSettings	Settings
sNoRepairHostileActorsNear	You cannot repair items when enemies are nearby.
sRemoveItemfromInventory	removed
sLockLevelNameEasy	Easy
sXBDPadDown	D-Pad Down
sKBY	Y
sOldDownloadsAvailable	View Available Content
sXBRThumbLeft	the Right Stick Left
sKBRMenu	R-Alt
sKBZ	Z
sStatsEFFAbbrev	EFF
sRSMConfirmRandomize	Randomize your head?
sFileNotFound	File does not exist
sSkinshade	Skin shade dark/light
sNotEnoughCaps	You don't have enough caps.
sDaySunday	Sunday
sDownloads	Downloads
sTargetTypeTalk	Talk
sKBRControl	R-Ctrl
sFastTravelNoTravelHealthDamage	You can't fast travel while taking health damage
sJawline	Jawline concave/convex
sMagicEffectItemSecondsSingular	sec
sOKText	OK
sComputersHeader1	ROBCO INDUSTRIES UNIFIED OPERATING SYSTEM
sEnterName	Enter character name.
sChinretracted	Chin retracted/jutting
sData	DATA
sHitPointsShort	HP
sComputersHeader2	COPYRIGHT 2075-2077 ROBCO INDUSTRIES
sFirstPersonSkeleton	Characters\_1stPerson\Skeleton.NIF
sMagicCastWhenUsed	(unused)
sCrimeTypeSteal	Steal
sLeftLegDamagedMessage	Your left leg is now crippled.
sGFWLive	LIVE
sMoveMarker	Move It
sMonthMay	May
sNoFastTravelCell	You cannot fast travel from this location.
sForeheadsmall	Forehead small/large
sInventoryAmmo	AMMO
sTargetTypeOpenDoor	Open
sInventoryApparel	Apparel
sKBLWin	LWin
sCantQuickLoad	You can't Quickload while the game is paused.
sQuestUpdatedText	Quest updated
sLockLevelNameImpossible	Requires Key
sKBSleep	Sleep
sRestartToUseProfileContent	In order to use the downloaded content associated with this profile, you will need to restart.
sSetMarkerQuestion	Do you want to set your marker?
sRSMRace	Race
sNoFastTravelCombat	You cannot fast travel during combat!
sMagicTypeEnchantment	Object Effect
sSaveOnWait	Save On Wait
sEyesocketsdark	Eye sockets dark/light
sChemsWithdrawal	You are suffering from %s withdrawal.
sInventoryMisc	Misc
sBroken	[Locked - Broken]
sMagicEffectItemLock	Lock
sRadiationIncrease	Your radiation level has increased
sInventoryAmmoTab	Ammo
sSneakDanger	[DANGER]
sInventoryArmorClass	Armor Class
sMiscPlayerDeadMessage	Reloading the most recent save game
sTo	to
sResetToDefaults	Reset your control mappings to their default settings?
sMagicEffectItemUpToLevel	up to level
sRemaining	remaining
sKBInsert	Insert
sSleep	sleep
sRSMToneOption01	Flushed
sKBDivide	Pad /
sNoTalkFleeing	is fleeing.
sRSMToneOption02	Light/Dark
sRadioStationDiscovered	%s signal found.
sRSMToneOption03	Cheeks Light/Dark
sCantQuickSave	You can't Quicksave while the game is paused.
